Fruit,Alternative Product,Market,Shop,Location,Profitability Score,Quality Rating
Pear,Vinegar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.6,A
Durian,Fruit Butter,Ratnapura Market,Gemland Fruits,Ratnapura,9.7,A
Pineapple,Wine,Kandy Central Market,Highland Fruit Mart,Kandy,7.7,A
Rambutan,Fruit Candy,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.2,B
Ambarella,Fruit Chips,Badulla Market,Hill Country Fresh,Badulla,7.5,A
Peach,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,8.8,A
Kiwi,Pickles,Puttalam Market,Northwest Fruits,Puttalam,8.2,C
Peach,Jam,Badulla Market,Hill Country Fresh,Badulla,8.9,B
Papaya,Juice,Galle Fruit Market,Southern Agro Supplies,Galle,9.8,B
Mango,Pulp,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,B
Custard Apple,Smoothie Mix,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.7,A
Custard Apple,Fruit Bars,Ratnapura Market,Gemland Fruits,Ratnapura,7.9,A
Avocado,Dried Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,C
Mangosteen,Fruit Salsa,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,A
Banana,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,8.7,A
Peach,Chutney,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.2,A
Beli,Smoothie Mix,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.7,C
Rambutan,Fruit Bars,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,B
Jackfruit,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.0,C
Watermelon,Nectar,Kandy Central Market,Highland Fruit Mart,Kandy,8.1,B
Strawberry,Fruit Pizza,Puttalam Market,Northwest Fruits,Puttalam,7.6,C
Custard Apple,Flavored Yogurt,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.9,B
Woodapple,Marmalade,Kandy Central Market,Highland Fruit Mart,Kandy,9.9,C
Coconut,Flavored Yogurt,Galle Fruit Market,Southern Agro Supplies,Galle,8.2,B
Grapes,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,B
Lemon,Syrup,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.2,A
Apple,Fruit Puree,Ratnapura Market,Gemland Fruits,Ratnapura,8.2,B
Jackfruit,Fruit Pizza,Matara Market,Matara Fruit Bazaar,Matara,7.9,B
Watermelon,Fermented Drink,Puttalam Market,Northwest Fruits,Puttalam,8.9,A
Ambarella,Nectar,Ratnapura Market,Gemland Fruits,Ratnapura,8.0,C
Peach,Jam,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.1,C
Papaya,Syrup,Badulla Market,Hill Country Fresh,Badulla,8.1,A
Avocado,Canned Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,8.4,C
Jackfruit,Nectar,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.0,C
Peach,Juice,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.6,A
Plum,Chutney,Jaffna Market,Northern Fresh Fruits,Jaffna,8.8,A
Lemon,Nectar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.5,A
Jackfruit,Essential Oil,Kandy Central Market,Highland Fruit Mart,Kandy,9.4,B
Jackfruit,Fruit-Flavored Tea,Badulla Market,Hill Country Fresh,Badulla,9.4,B
Custard Apple,Freeze-Dried Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.7,B
Ambarella,Fruit Pizza,Galle Fruit Market,Southern Agro Supplies,Galle,7.8,A
Coconut,Fruit Extract,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.0,C
Strawberry,Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.3,B
Jackfruit,Fruit-Filled Pastries,Jaffna Market,Northern Fresh Fruits,Jaffna,8.8,B
Pear,Essential Oil,Puttalam Market,Northwest Fruits,Puttalam,7.8,B
Papaya,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.2,C
Coconut,Freeze-Dried Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.6,C
Ambarella,Jam,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.8,B
Banana,Sauce,Kandy Central Market,Highland Fruit Mart,Kandy,8.6,A
Custard Apple,Fruit-Flavored Tea,Jaffna Market,Northern Fresh Fruits,Jaffna,7.5,A
Orange,Fruit Extract,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.3,A
Durian,Fruit Snacks,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,B
Kiwi,Fruit Pizza,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,C
Pomegranate,Pulp,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.6,B
Woodapple,Fruit Pizza,Puttalam Market,Northwest Fruits,Puttalam,9.3,B
Woodapple,Frozen Dessert,Kandy Central Market,Highland Fruit Mart,Kandy,8.2,A
Plum,Fruit Salad Mix,Kandy Central Market,Highland Fruit Mart,Kandy,9.1,C
Papaya,Vinegar,Jaffna Market,Northern Fresh Fruits,Jaffna,9.9,B
Soursop,Canned Fruit Cocktail,Kandy Central Market,Highland Fruit Mart,Kandy,7.8,A
Kiwi,Flavored Yogurt,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.5,A
Guava,Frozen Dessert,Badulla Market,Hill Country Fresh,Badulla,8.0,C
Strawberry,Fruit Salad Mix,Puttalam Market,Northwest Fruits,Puttalam,9.6,A
Custard Apple,Frozen Dessert,Ratnapura Market,Gemland Fruits,Ratnapura,8.0,C
Plum,Fruit Butter,Puttalam Market,Northwest Fruits,Puttalam,8.7,C
Lemon,Fruit Pizza,Matara Market,Matara Fruit Bazaar,Matara,8.7,C
Banana,Vinegar,Kandy Central Market,Highland Fruit Mart,Kandy,8.4,A
Papaya,Fruit Snacks,Puttalam Market,Northwest Fruits,Puttalam,8.4,C
Mango,Fruit Candy,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.5,C
Plum,Jelly,Puttalam Market,Northwest Fruits,Puttalam,8.0,A
Lychee,Fruit Concentrate,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.2,A
Pomegranate,Jelly,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.0,C
Guava,Fruit Salad Mix,Badulla Market,Hill Country Fresh,Badulla,7.7,A
Cherry,Fruit Topping,Puttalam Market,Northwest Fruits,Puttalam,7.5,C
Guava,Fruit Extract,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,C
Blueberry,Compote,Jaffna Market,Northern Fresh Fruits,Jaffna,8.9,C
Woodapple,Fruit-Flavored Tea,Galle Fruit Market,Southern Agro Supplies,Galle,8.2,B
Orange,Vinegar,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.8,A
